latitude,longitude,elevation
46.363649,14.112036,511.5
46.363691,14.112026,511.0
46.363778,14.112031,510.1
46.363835,14.112023,509.7
46.363888,14.112007,509.4
46.363943,14.111994,509.0
46.363987,14.111986,508.7
46.364034,14.11198,508.4
46.364081,14.111971,508.1
46.364131,14.111971,507.7
46.364179,14.111973,507.3
46.36423,14.11197,507.0
46.364281,14.111958,506.6
46.364337,14.111955,506.1
46.364388,14.111957,505.7
46.364435,14.11196,505.4
46.364487,14.111964,505.0
46.364547,14.111964,504.6
46.36461,14.11196,504.4
46.364677,14.111954,504.6
46.364746,14.111945,504.9
46.364817,14.111928,505.1
46.364891,14.111894,505.3
46.364966,14.111855,505.5
46.365039,14.111811,505.7
46.365114,14.111769,506.0
46.36519,14.111728,506.3
46.365268,14.111692,506.7
46.365346,14.111659,507.1
46.365425,14.111629,507.5
46.365506,14.111596,507.6
46.365589,14.111567,507.7
46.365658,14.11154,507.7
46.365737,14.111508,507.8
46.365817,14.111463,507.9
46.365893,14.111415,507.9
46.365967,14.111363,507.9
46.366047,14.111299,507.9
46.366091,14.111257,507.8
46.366232,14.111075,508.4
46.366383,14.110918,507.5
46.366423,14.110882,507.2
46.36655,14.110764,506.0
46.366577,14.110729,505.7
46.366706,14.110654,504.2
46.366819,14.110574,502.8
46.366998,14.110405,500.0
46.36709,14.110296,498.0
46.367145,14.110225,497.1
46.36717,14.110186,496.6
46.367241,14.110145,496.0
46.367313,14.110107,495.3
46.367387,14.110045,494.4
46.367462,14.109948,493.2
46.367539,14.109835,491.9
46.367594,14.109765,491.1
46.367735,14.109706,489.9
46.367857,14.109809,490.2
46.367997,14.109924,490.9
46.368162,14.109994,491.6
46.368317,14.109985,491.6
46.368587,14.109877,490.8
46.368731,14.109801,490.1
46.368873,14.109753,490.2
46.368993,14.109737,490.7
46.369077,14.109745,491.1
46.369184,14.109635,491.3
46.369253,14.109506,491.0
46.369291,14.109445,490.8
46.369404,14.109227,490.0
46.369502,14.109087,489.7
46.369617,14.108958,489.5
46.36978,14.108734,488.2
46.369874,14.108574,487.4
46.369932,14.108385,486.5
46.369896,14.10827,485.9
46.369818,14.108153,485.2
46.369768,14.108098,484.9
46.369606,14.107938,484.1
46.369502,14.107837,483.0
46.369415,14.107749,481.9
46.369359,14.107582,481.0
46.369415,14.107457,481.1
46.369489,14.107331,481.2
46.36959,14.107161,481.3
46.369621,14.107108,481.1
46.369669,14.106924,480.9
46.369679,14.106852,480.8
46.369724,14.10661,480.8
46.36977,14.106425,480.9
46.369816,14.106215,481.1
46.369859,14.10602,481.6
46.369895,14.105845,482.1
46.36993,14.105679,482.7
46.369963,14.105515,483.4
46.369992,14.105376,484.1
46.370019,14.105253,485.1
46.370035,14.10514,486.0
46.370087,14.105044,487.3
46.370125,14.105018,488.0
46.370153,14.105011,488.5
46.370165,14.105005,488.7
46.370204,14.104953,489.6
46.370203,14.104899,490.0
46.370185,14.104844,490.1
46.370161,14.104778,490.1
46.370145,14.104726,490.2
46.370136,14.104672,490.4
46.370131,14.104615,490.7
46.370132,14.104559,491.0
46.370148,14.104506,491.6
46.370154,14.104472,492.0
46.370154,14.104414,492.3
46.370167,14.104351,493.0
46.370173,14.104297,493.5
46.370186,14.104231,494.2
46.370196,14.1042,494.6
46.370227,14.104177,495.5
46.37023,14.104156,495.7
46.370257,14.10413,496.5
46.370308,14.104114,497.9
46.370356,14.10408,499.3
46.370449,14.104062,502.0
46.37053,14.104072,504.2
46.370578,14.104123,504.8
46.370647,14.104126,506.6
46.370739,14.104103,509.6
46.370853,14.104089,513.1
46.370929,14.104081,515.5
46.371004,14.104082,517.6
46.371102,14.104109,519.5
46.371205,14.104135,521.5
46.371303,14.104157,521.8
46.371393,14.104178,521.0
46.371468,14.104207,519.9
46.371574,14.104204,520.0
46.371632,14.104196,520.2
46.371701,14.104171,521.1
46.37176,14.104131,522.4
46.371797,14.104093,523.7
46.371842,14.104055,525.0
46.371884,14.104018,526.2
46.371924,14.103982,527.4
46.371961,14.103953,528.4
46.371994,14.103918,529.5
46.37202,14.103867,531.2
46.372046,14.103776,534.2
46.372056,14.103679,536.9
46.372051,14.103573,539.6
46.372052,14.103467,542.3
46.372065,14.103366,544.8
46.372079,14.103299,546.4
46.372098,14.103234,547.6
46.372115,14.103169,548.7
46.372133,14.103101,549.8
46.37215,14.10303,550.9
46.372172,14.102963,551.7
46.372194,14.102898,551.8
46.372218,14.102833,550.4
46.372239,14.102769,549.0
